timestamp,tilt X,tilt Y,alpha,beta,xC_det4,yC_det4,Centroid_det4,xC_det5,yC_det5,Centroid_det5,xC_det14,yC_det14,Centroid_det14
2014-172-00:00:00.100000000,0,91.2125349600799,91.2125349600799,0,-0.0180959741255604,0.443190872797255,0.443560158276581,-0.00528743194086544,0.364773818832695,0.364812137739847,0.00674469993386517,0.0596690985218693,0.060049082387747
2014-172-00:00:00.200000000,0.0101929540079205,91.2140224790101,91.2140224597962,0.0101952425531546,-0.00103325835710445,0.431632793735944,0.431634030459982,0.00720012866326556,0.392897632624805,0.392963600827028,0.0071193761085939,0.0700685071172321,0.0704292638454586
2014-172-00:00:00.300000000,0.0192376469995311,91.2149635530797,91.214963484585,0.019241972979794,-0.0264682389998764,0.420884649503379,0.421716084425691,0.00421030212048261,0.394874049165323,0.394896494474392,0.00907134085173114,0.0879210889120104,0.0883878221268175
2014-172-00:00:00.400000000,0.0270857283398596,91.2155860931975,91.2155859573484,0.0270918253665723,0.0771505391944377,0.460954884888371,0.467366677888405,0.00351060445372895,0.399272001128894,0.399287434349119,0.00844013702852856,0.0817977901450062,0.082232076379396
2014-172-00:00:00.500000000,0.0338843944172254,91.215673695138,91.2156734825169,0.0338920229299692,0.0812186808983599,0.459666254779626,0.466786396449166,0.00373418410787776,0.406818881788287,0.40683601943587,0.00528578360540936,0.0822553037706688,0.0824249628858164
2014-172-00:00:00.600000000,0.0397628997881126,91.2155053159984,91.2155050232444,0.0397718492685241,-0.00701125532314846,0.454505212331344,0.454559287373568,0.0125202624807235,0.412893725547912,0.413083509195684,0.00401405272722015,0.0792858431775272,0.0793873890971881
2014-172-00:00:00.700000000,0.0447653942062109,91.2148752689722,91.2148748981153,0.0447754591585363,0.0591385150566848,0.439690980761425,0.443650225432213,0.0131954278787216,0.416742830086717,0.416951682747041,0.005170719448775,0.0868350872647327,0.0869888999809268
2014-172-00:00:00.800000000,0.0490210982608863,91.2138811559708,91.2138807116139,0.0490321020215059,0.0426902174979935,0.453663563140409,0.455667733322514,0.0114418779555372,0.416247777265022,0.416405005552552,0.0055675841860603,0.0822199418173535,0.0824082327569149
2014-172-00:00:00.900000000,0.0527908065241263,91.2126585924465,91.2126580776391,0.0528026326079875,-0.01001554421268,0.456266164011675,0.45637607687937,0.0102272476210924,0.415995332739354,0.416121032218787,0.00603656863118558,0.0837444500099234,0.0839617357389875
2014-172-00:00:01.000000000,0.0561550116762847,91.2109407011841,91.2109401194971,0.0561675557781982,-0.00237070531593794,0.454001819660643,0.454008009289341,0.0147537607973281,0.421769887801897,0.422027856561732,0.00427321350344954,0.0911409049897677,0.0912410264957597
2014-172-00:00:01.100000000,0.059300881857447,91.2090275415408,91.2090268938799,0.0593140868618833,-0.0274639730895833,0.431970820243206,0.43284299620007,0.0191356015464037,0.424116474406713,0.424547942062758,0.00500246013185186,0.0943577824097189,0.0944902942563448
2014-172-00:00:01.200000000,0.0624595327586927,91.2065738820925,91.2065731650577,0.0624733847184806,-0.00899132133415382,0.469451088633554,0.469537185405547,0.0178636466909723,0.425399144516263,0.425774050440217,0.00407963352978217,0.0959723045479579,0.0960589748539058
2014-172-00:00:01.300000000,0.0657850810069833,91.2041189659449,91.2041181721417,0.0657996111702595,-0.0491189093739251,0.41508459648577,0.417980728620159,0.019213522991774,0.424749578025183,0.425183917262079,0.00365040630835464,0.100371064141805,0.100437423220503
2014-172-00:00:01.400000000,0.0695302688086151,91.2010784972347,91.201077612715,0.0695455487092877,-0.0158811616041899,0.436752764606202,0.437041403856727,0.0205563966894995,0.426469727708689,0.426964862836252,0.00430762437671925,0.102494689844616,0.102585169854687
2014-172-00:00:01.500000000,0.0738018702171749,91.1979325409312,91.1979315470028,0.0738180039722961,0.00843290970760564,0.430107374515359,0.430190036586892,0.0237913786363734,0.425793305951588,0.426457464573668,0.00336455659616106,0.106885989156395,0.106938930792437
2014-172-00:00:01.600000000,0.0788341652696144,91.1944161348703,91.1944150041057,0.0788512980809931,-0.0299722627296598,0.452409892247798,0.453401639980272,0.0245316827675417,0.425881390161304,0.426587343864222,0.00259872794567425,0.107318539703026,0.107349999305662
2014-172-00:00:01.700000000,0.0847325476144238,91.1906820252051,91.1906807229877,0.0847508473207553,-0.000829455099432888,0.412287674076676,0.412288508439561,0.0266735210558612,0.424477979127462,0.425315214270135,0.00251697516208863,0.106186737246631,0.106216563355494
2014-172-00:00:01.800000000,0.0915852900644617,91.1866113204454,91.1866098042796,0.0916049347155973,-0.0378108480779292,0.428842577219613,0.430506232555038,0.0269965811374749,0.424587866026561,0.425445262484025,0.00349481428771288,0.102506301491873,0.102565859682686
2014-172-00:00:01.900000000,0.0994778197946406,91.1824002574734,91.182398475081,0.0994990061487903,-0.0211069231529838,0.419012806703053,0.419544079193302,0.0259259575318395,0.422377661625773,0.42317259400202,0.00345643846652417,0.10110336448118,0.101162430162028
2014-172-00:00:02.000000000,0.108379222486809,91.1778190917502,91.1778169843042,0.108402126067754,-0.0104630110006803,0.441856976429253,0.441980839198264,0.024175432621592,0.421218102212059,0.421911295385143,0.00413074053113395,0.1057856838551,0.105866302126912
2014-172-00:00:02.100000000,0.11830546192007,91.173052804987,91.1730503039942,0.118330261212087,-0.00326746972850817,0.445515343006171,0.445527324877311,0.0232883472020342,0.420201960536172,0.420846806752582,0.00392132662916506,0.106269699735853,0.10634202313517
2014-172-00:00:02.200000000,0.129248627673229,91.1681022726706,91.1680993002006,0.129275492631029,-0.0123643537315332,0.40363620529083,0.403825535924586,0.0226018814544207,0.418659678632243,0.419269330571331,0.00388072317385129,0.106267641043669,0.106338476316609
2014-172-00:00:02.300000000,0.141195241001427,91.1629684060837,91.1629648743154,0.141224331651862,-0.0349892681573814,0.417525718286882,0.418989229356992,0.0208765030242464,0.41710266718835,0.417624787763079,0.00394244553256413,0.10594753299037,0.106020859379288
2014-172-00:00:02.400000000,0.15404739977227,91.1575082781084,91.1575040938701,0.154078840970563,0.000754115189341058,0.418796358568061,0.418797037524845,0.0207937767209233,0.416079552678551,0.416598818178236,0.00341632484899757,0.105375035037604,0.105430400192023
2014-172-00:00:02.500000000,0.167811428264446,91.1518957027778,91.1518907615011,0.167845347280919,0.0104660397216764,0.441694893561906,0.44181887350601,0.0228147889645582,0.416992027808258,0.417615691576766,0.00338494362690237,0.105721908605197,0.105776083319827
2014-172-00:00:02.600000000,0.182436760936886,91.1460993097857,91.146093499075,0.18247326582902,-0.00363746619087376,0.414890659071412,0.414906604123145,0.0221119054869645,0.415045538348772,0.415634136311596,0.00282062362655789,0.10739036128234,0.107427396943211
2014-172-00:00:02.700000000,0.197900499825412,91.1401200267698,91.1401132249364,0.197939686732015,-0.000855971943102021,0.450420301017127,0.450421114354475,0.0219735473182374,0.417635532336758,0.418213192823892,0.00307143396262314,0.107414468010189,0.107458371681776
2014-172-00:00:02.800000000,0.214128779579874,91.1339877031031,91.1339797828443,0.214170724880883,0.00626370117392729,0.421119796267877,0.421166376579487,0.0222498487048329,0.4178605665516,0.418452516835796,0.0035402271262229,0.106907182713824,0.106965783893319
2014-172-00:00:02.900000000,0.231068611935307,91.1276709119037,91.1276617403161,0.231113372529377,-0.00111033424329404,0.439977605313604,0.43997900633965,0.022809681105087,0.419753757287154,0.420373046601229,0.00387313217963219,0.10572942290083,0.105800340357786
2014-172-00:00:03.000000000,0.248776263645071,91.1210334049226,91.1210228363602,0.248823888603205,0.000164067224014893,0.383852892939251,0.383852928002231,0.0219490679277901,0.418252658582228,0.418828184335773,0.00383417970986937,0.106074457188659,0.106143729922762
2014-172-00:00:03.100000000,0.267085314779011,91.1143503759933,91.1143382672102,0.267135836767869,-0.0185878831550466,0.407615905671013,0.408039502935911,0.0210523111405334,0.416520153661123,0.417051841154362,0.00415514798324133,0.106784088248015,0.106864899558847
2014-172-00:00:03.200000000,0.286129548209654,91.1075610355005,91.1075472230409,0.28618301488583,-0.0100892566620862,0.418820938633132,0.418942444421105,0.0206115050737775,0.417518059623541,0.418026511423872,0.00436309433197689,0.104808997696187,0.104899774023728
2014-172-00:00:03.300000000,0.30569309984818,91.1005440385334,91.1005283726164,0.305749500451742,0.024430313100121,0.430888637839703,0.431580651115784,0.0205362486520741,0.416556271542911,0.417062183457613,0.00457588439806654,0.105538058106698,0.105637211374388
