timestamp,tilt X,tilt Y,alpha,beta,xC_det4,yC_det4,Centroid_det4,xC_det5,yC_det5,Centroid_det5,xC_det14,yC_det14,Centroid_det14
2024-099-00:08:21.200000000,0,90.000732,0.000732,0,-0.00414818036782712,-0.0134355521742054,0.0140613464003211,0.00487309887793448,0.11860849083034,0.118708555671969,-0.0105482728080291,0.0455770621681457,0.0467817769554729
2024-099-00:08:21.300000000,2.16943338507732e-05,90.0007546882508,0.000755,1.646576,-0.0057336327331486,0.000211196969742324,0.00573752110921271,0.00053920352947953,0.0692959683038914,0.0692980660886011,-0.0109977716754577,0.0355068537217825,0.0371710592133929
2024-099-00:08:21.400000000,4.56203887747452e-05,90.0008257407463,0.000827,3.162253,0.000688307644605625,0.00890408598488833,0.00893065029210681,0.000320813791552839,0.0536255696405835,0.0536265292627252,-0.0122135411651612,0.00815050315915355,0.0146833677860516
2024-099-00:08:21.500000000,5.94159968919506e-05,90.0007997960611,0.000802,4.248638,0.00267198893382175,-0.00733307963245534,0.00780471535409186,0.00105736590887408,0.0426037997125694,0.0426169188540652,-0.0112674851551392,-0.0185847838422853,0.0217336240002847
2024-099-00:08:21.600000000,3.34810995496856e-05,90.0008333276762,0.000834,2.300769,-0.0225512992280835,0.0105461007660423,0.0248954079750077,-0.00308094016241144,0.0376781806396391,0.0378039348295602,-0.00659921410124368,-0.0333689587786278,0.0340152471213104
2024-099-00:08:21.700000000,2.54621867524319e-06,90.0007709957956,0.000771,0.189219,0.00653494759743145,0.00156630571506369,0.00672003375692536,-0.00172814482519659,0.0338085371472132,0.0338526759440277,-0.00700102629002511,-0.034935118400351,0.0356297188700692
2024-099-00:08:21.800000000,4.33968010678319e-05,90.0007627664896,0.000764,3.256273,-0.00670327884497667,0.00852254728085847,0.0108428667532152,-0.00219122764501217,0.0312931714065306,0.0313697952698256,-0.00753551202487062,-0.0410049691124266,0.0416916230601308
2024-099-00:08:21.900000000,1.03713774055091e-05,90.0007999327688,0.0008,0.742816,-0.0078488003324007,-0.0223458510057074,0.0236841872106089,-0.00256456508922698,0.0264843090805838,0.0266081871154871,-0.00786479736515245,-0.049336098355059,0.0499590396074121
2024-099-00:08:22.000000000,2.04649143473225e-05,90.000884763351,0.000885,1.325037,-0.00426282318959311,-0.0130414813347736,0.0137204918625747,-0.00269767446276329,0.0234360182020697,0.0235907693107873,-0.00693809626955085,-0.0594541015963444,0.0598575590587688
2024-099-00:08:22.100000000,3.96962843550617e-05,90.0008300513267,0.000831,2.738021,-0.0135202694604873,-0.000612097666480677,0.0135341179925955,-0.00363279022424352,0.0218109526963442,0.0221114183700532,-0.00662758219740315,-0.0661257851092757,0.0664570861692072
2024-099-00:08:22.200000000,2.22607758797318e-05,90.0008186974153,0.000819,1.557516,-9.9221648209479e-05,-0.00334140890053631,0.00334288174724394,-0.00352591549568076,0.0200610451213357,0.0203685446569692,-0.00713717423859323,-0.066068262461211,0.0664526490123268
2024-099-00:08:22.300000000,6.68797897281398e-05,90.0008383365039,0.000841,4.561213,-0.0110310664165664,0.00154450759889235,0.0111386682332196,-0.00391287021193114,0.0190223406085212,0.0194206074962142,-0.00629881538654021,-0.0687668313928159,0.0690547042212309
2024-099-00:08:22.400000000,2.66990704829843e-06,90.0007869954711,0.000787,0.194377,0.00491416601022529,-0.00272590666100611,0.00561957246599517,-0.00308368938021778,0.0177526693086202,0.0180185018182671,-0.00746617260154329,-0.0688708206164852,0.0692743362703976
2024-099-00:08:22.500000000,5.25524188034646e-06,90.0008469836967,0.000847,0.355496,-0.00757936511055623,0.000963371538569201,0.00764034424620005,-0.00330273378514207,0.0170757538654043,0.0173922229898133,-0.0075807581254306,-0.0678198150767375,0.0682421805835595
2024-099-00:08:22.600000000,2.48568271091603e-05,90.0008146208555,0.000815,1.747745,-0.00079303137432109,-0.0113105430291721,0.0113383103845067,-0.00304940371290115,0.0156122063867605,0.0159072263851076,-0.00795902015725544,-0.0705752975794705,0.071022662793607
2024-099-00:08:22.700000000,1.93525813943805e-05,90.0007787595762,0.000779,1.423537,-0.00664154121608805,-0.00013279978922622,0.00664286877102166,-0.00321774668804122,0.0148110089856194,0.0151565128219026,-0.00747883241565386,-0.072761385394577,0.0731447341839424
2024-099-00:08:22.800000000,4.40138436943343e-05,90.000852865043,0.000854,2.954245,-0.00890639984199217,-0.00240497349737068,0.00922539189782708,-0.00359683939920989,0.0141394065911986,0.0145897248916811,-0.00741401115858492,-0.0743683496353512,0.0747369987954123
2024-099-00:08:22.900000000,5.84075630431903e-05,90.0008379669186,0.00084,3.987154,-0.0131810847315608,-0.000184978449298762,0.0131823826271008,-0.00403207664237454,0.0136102165116975,0.0141949158343847,-0.00725986151512826,-0.0763180680601723,0.0766625925837102
2024-099-00:08:23.000000000,4.9371529897611e-06,90.0008669859425,0.000867,0.326274,-0.0148046036755548,-0.00466762672410642,0.0155229839021318,-0.0046150030679744,0.0130077970737341,0.013802211345609,-0.00643433148593386,-0.0759892963458463,0.0762612206878944
2024-099-00:08:23.100000000,1.70825953122533e-05,90.0008378258679,0.000838,1.168053,-0.0062972756985945,0.00390168770171673,0.00740802592772436,-0.00475106427007913,0.0129309051043292,0.0137760995392596,-0.00651821180911852,-0.0760766757436979,0.0763554037210221
2024-099-00:08:23.200000000,2.27205224498107e-05,90.0008326900851,0.000833,1.562967,0.0087988495032981,0.0117644158165734,0.0146908553898993,-0.00421469494152461,0.013032882116258,0.0136974329604635,-0.00719560680068976,-0.0743737994762275,0.0747210733713069
2024-099-00:08:23.300000000,2.64341524797683e-05,90.0008195738134,0.00082,1.847351,0.00527643647519992,0.00413518229417198,0.00670376867760617,-0.00367781885808989,0.012855412299778,0.0133711621391039,-0.0079500158275627,-0.0735160849503687,0.0739446921562888
2024-099-00:08:23.400000000,6.82873448583812e-05,90.000842236213,0.000845,4.635323,-0.000128007414937441,0.00404185800435861,0.00404388452180286,-0.00357060289380031,0.0126622097278639,0.0131560161225815,-0.00819751680909876,-0.0752938249939596,0.075738757344285
2024-099-00:08:23.500000000,2.81617943772847e-05,90.000850533899,0.000851,1.896412,-0.00726450167324584,0.00796852369977216,0.0107828732031135,-0.00363347127543303,0.0126747818394937,0.0131853027340352,-0.00829728641068085,-0.0772051032999123,0.0776496808578825
2024-099-00:08:23.600000000,5.32333930271722e-06,90.0007939821547,0.000794,0.38414,0.00816166864426518,0.0127939312579786,0.0151755564014194,-0.00309199000842449,0.0128242088039102,0.0131916918421591,-0.00890490490812363,-0.0779962646561375,0.0785029593820065
2024-099-00:08:23.700000000,2.35680637963867e-05,90.0007696392313,0.00077,1.753976,0.00577778525995989,-0.000661828848371214,0.0058155670346705,-0.00279330135814676,0.0124455928326924,0.0127552073066097,-0.00929629594529638,-0.0776979472190645,0.0782521061720326
2024-099-00:08:23.800000000,4.88138017866993e-05,90.0008766420095,0.000878,3.187093,0.000585962361443905,-0.00088257932821565,0.00105938574637499,-0.00265591558543777,0.0119996335550795,0.0122900404007945,-0.00966818199775209,-0.0764634623940865,0.0770722701393538
2024-099-00:08:23.900000000,3.11707036832675e-05,90.0008144037004,0.000815,2.191884,0.00510888164417912,0.00434418192336743,0.00670616046911664,-0.00236083913507764,0.0118087793751138,0.0120424595391401,-0.0100480138940863,-0.0794799858589243,0.0801126128356238
