"value","timestamp"
-29076.4,"2009-10-10 15:56:08.905000000"
-29412.2,"2009-10-10 15:56:24.906000000"
-29697.4,"2009-10-10 15:56:40.905000000"
-29920.3,"2009-10-10 15:56:56.905000000"
-30134.3,"2009-10-10 15:57:12.905000000"
-30265,"2009-10-10 15:57:28.905000000"
-30383.9,"2009-10-10 15:57:44.906000000"
-30458.2,"2009-10-10 15:58:00.905000000"
-30490.8,"2009-10-10 15:58:16.905000000"
-30473,"2009-10-10 15:58:32.905000000"
-30419.5,"2009-10-10 15:58:48.905000000"
-30294.7,"2009-10-10 15:59:04.906000000"
-30178.8,"2009-10-10 15:59:20.905000000"
-29988.7,"2009-10-10 15:59:36.905000000"
-29780.6,"2009-10-10 15:59:52.905000000"
-29542.9,"2009-10-10 16:00:08.905000000"
-29263.6,"2009-10-10 16:00:24.906000000"
-28948.6,"2009-10-10 16:00:40.905000000"
-28609.9,"2009-10-10 16:00:56.905000000"
-28250.3,"2009-10-10 16:01:12.905000000"
-27867,"2009-10-10 16:01:28.905000000"
-27448,"2009-10-10 16:01:44.906000000"
-27023.1,"2009-10-10 16:02:00.905000000"
-26574.4,"2009-10-10 16:02:16.905000000"
-26134.6,"2009-10-10 16:02:32.905000000"
-25641.3,"2009-10-10 16:02:48.905000000"
-25151,"2009-10-10 16:03:04.906000000"
-24654.8,"2009-10-10 16:03:20.905000000"
-24146.6,"2009-10-10 16:03:36.905000000"
-23629.6,"2009-10-10 16:03:52.905000000"
-23130.4,"2009-10-10 16:04:08.905000000"
-22613.3,"2009-10-10 16:04:24.906000000"
-22108.2,"2009-10-10 16:04:40.905000000"
-21573.3,"2009-10-10 16:04:56.905000000"
-21050.3,"2009-10-10 16:05:12.905000000"
-20524.3,"2009-10-10 16:05:28.905000000"
-19986.5,"2009-10-10 16:05:44.906000000"
-19463.5,"2009-10-10 16:06:00.905000000"
-18955.4,"2009-10-10 16:06:16.905000000"
-18453.2,"2009-10-10 16:06:32.905000000"
-17954,"2009-10-10 16:06:48.905000000"
-17466.6,"2009-10-10 16:07:04.906000000"
-16967.4,"2009-10-10 16:07:20.905000000"
-16489,"2009-10-10 16:07:36.905000000"
-16040.3,"2009-10-10 16:07:52.905000000"
-15558.9,"2009-10-10 16:08:08.905000000"
-15074.6,"2009-10-10 16:08:24.906000000"
-14634.8,"2009-10-10 16:08:40.905000000"
-14189,"2009-10-10 16:08:56.905000000"
-13725.5,"2009-10-10 16:09:12.904000000"
-13312.4,"2009-10-10 16:09:28.905000000"
-12884.5,"2009-10-10 16:09:44.906000000"
-12477.4,"2009-10-10 16:10:00.905000000"
-12076.3,"2009-10-10 16:10:16.905000000"
-11663.2,"2009-10-10 16:10:32.905000000"
-11259.1,"2009-10-10 16:10:48.905000000"
-10884.7,"2009-10-10 16:11:04.906000000"
-10495.4,"2009-10-10 16:11:20.905000000"
-10094.3,"2009-10-10 16:11:36.905000000"
-9716.89,"2009-10-10 16:11:52.905000000"
-9345.45,"2009-10-10 16:12:08.905000000"
-8991.84,"2009-10-10 16:12:24.906000000"
-8608.51,"2009-10-10 16:12:40.905000000"
-8225.19,"2009-10-10 16:12:56.905000000"
-7838.89,"2009-10-10 16:13:12.905000000"
-7440.7,"2009-10-10 16:13:28.905000000"
-7075.21,"2009-10-10 16:13:44.906000000"
-6682.96,"2009-10-10 16:14:00.905000000"
-6344.21,"2009-10-10 16:14:16.905000000"
-6029.23,"2009-10-10 16:14:32.905000000"
-5690.47,"2009-10-10 16:14:48.905000000"
-5307.15,"2009-10-10 16:15:04.906000000"
-4950.56,"2009-10-10 16:15:20.905000000"
-4573.18,"2009-10-10 16:15:36.905000000"
-4169.05,"2009-10-10 16:15:52.905000000"
-3788.7,"2009-10-10 16:16:08.905000000"
-3384.57,"2009-10-10 16:16:24.906000000"
-2980.44,"2009-10-10 16:16:40.905000000"
-2594.14,"2009-10-10 16:16:56.905000000"
-2172.19,"2009-10-10 16:17:12.905000000"
-1747.26,"2009-10-10 16:17:28.905000000"
-1313.42,"2009-10-10 16:17:44.906000000"
-861.743,"2009-10-10 16:18:00.905000000"
-413.042,"2009-10-10 16:18:16.905000000"
71.3188,"2009-10-10 16:18:32.905000000"
561.636,"2009-10-10 16:18:48.905000000"
1060.87,"2009-10-10 16:19:04.906000000"
1577.93,"2009-10-10 16:19:20.905000000"
2100.93,"2009-10-10 16:19:36.905000000"
